gene_stable_id	transcript_stable_id	protein_stable_id	xref_id
ENSMYVG00000000006			HGNC:10441
ENSMYVG00000000006	ENSMYVT00000000016	ENSMYVP00000000004	GO:0003676
ENSMYVG00000000006	ENSMYVT00000000016	ENSMYVP00000000004	GO:0004523
ENSMYVG00000000009			HGNC:30702
ENSMYVG00000000010	ENSMYVT00000000019	ENSMYVP00000000012	GO:0016020
ENSMYVG00000000012			HGNC:9349
ENSMYVG00000000013			HGNC:851
ENSMYVG00000000013	ENSMYVT00000000021	ENSMYVP00000000002	GO:0005524
ENSMYVG00000000013	ENSMYVT00000000021	ENSMYVP00000000002	GO:0016887
ENSMYVG00000000013	ENSMYVT00000000021	ENSMYVP00000000002	GO:0033180
ENSMYVG00000000013	ENSMYVT00000000021	ENSMYVP00000000002	GO:0046034
ENSMYVG00000000013	ENSMYVT00000000021	ENSMYVP00000000002	GO:0046961
ENSMYVG00000000013	ENSMYVT00000000021	ENSMYVP00000000002	GO:1902600
ENSMYVG00000000014	ENSMYVT00000000007	ENSMYVP00000000019	GO:0005524
ENSMYVG00000000014	ENSMYVT00000000007	ENSMYVP00000000019	GO:0006139
ENSMYVG00000000014	ENSMYVT00000000007	ENSMYVP00000000019	GO:0019205
ENSMYVG00000000015			HGNC:29508
ENSMYVG00000000016			ZDB-GENE-110310-8
ENSMYVG00000000018	ENSMYVT00000000006	ENSMYVP00000000003	GO:0005515
ENSMYVG00000000018	ENSMYVT00000000025	ENSMYVP00000000023	GO:0005515
ENSMYVG00000000019			HGNC:10250
ENSMYVG00000000020	ENSMYVT00000000020	ENSMYVP00000000018	GO:0004930
ENSMYVG00000000020	ENSMYVT00000000020	ENSMYVP00000000018	GO:0007186
ENSMYVG00000000020	ENSMYVT00000000020	ENSMYVP00000000018	GO:0016020
ENSMYVG00000000020	ENSMYVT00000000022	ENSMYVP00000000020	GO:0004930
ENSMYVG00000000020	ENSMYVT00000000022	ENSMYVP00000000020	GO:0007186
ENSMYVG00000000020	ENSMYVT00000000022	ENSMYVP00000000020	GO:0016020
ENSMYVG00000000020	ENSMYVT00000000027	ENSMYVP00000000025	GO:0004930
ENSMYVG00000000020	ENSMYVT00000000027	ENSMYVP00000000025	GO:0007186
ENSMYVG00000000020	ENSMYVT00000000027	ENSMYVP00000000025	GO:0016020
ENSMYVG00000000020	ENSMYVT00000000030	ENSMYVP00000000026	GO:0004930
ENSMYVG00000000020	ENSMYVT00000000030	ENSMYVP00000000026	GO:0007186
ENSMYVG00000000020	ENSMYVT00000000030	ENSMYVP00000000026	GO:0016020
ENSMYVG00000000021			ZDB-GENE-030131-4862
ENSMYVG00000000021	ENSMYVT00000000008	ENSMYVP00000000005	GO:0003676
ENSMYVG00000000021	ENSMYVT00000000008	ENSMYVP00000000005	GO:0003723
ENSMYVG00000000021	ENSMYVT00000000024	ENSMYVP00000000022	GO:0003676
ENSMYVG00000000021	ENSMYVT00000000024	ENSMYVP00000000022	GO:0003723
ENSMYVG00000000021	ENSMYVT00000000031	ENSMYVP00000000027	GO:0003676
ENSMYVG00000000021	ENSMYVT00000000031	ENSMYVP00000000027	GO:0003723
ENSMYVG00000000021	ENSMYVT00000000056	ENSMYVP00000000048	GO:0003676
ENSMYVG00000000021	ENSMYVT00000000056	ENSMYVP00000000048	GO:0003723
ENSMYVG00000000025			HGNC:28413
ENSMYVG00000000025	ENSMYVT00000000033	ENSMYVP00000000029	GO:0008194
ENSMYVG00000000027			HGNC:10289
ENSMYVG00000000027	ENSMYVT00000000039	ENSMYVP00000000033	GO:0003676
ENSMYVG00000000027	ENSMYVT00000000039	ENSMYVP00000000033	GO:0003677
ENSMYVG00000000027	ENSMYVT00000000039	ENSMYVP00000000033	GO:0005634
ENSMYVG00000000027	ENSMYVT00000000039	ENSMYVP00000000033	GO:0006260
ENSMYVG00000000027	ENSMYVT00000000039	ENSMYVP00000000033	GO:0006281
ENSMYVG00000000027	ENSMYVT00000000039	ENSMYVP00000000033	GO:0006310
ENSMYVG00000000030	ENSMYVT00000000038	ENSMYVP00000000032	GO:0016491
ENSMYVG00000000030	ENSMYVT00000000053	ENSMYVP00000000045	GO:0016491
ENSMYVG00000000032			HGNC:11474
ENSMYVG00000000032	ENSMYVT00000000040	ENSMYVP00000000034	GO:0003676
ENSMYVG00000000033			HGNC:6401
ENSMYVG00000000033	ENSMYVT00000000042	ENSMYVP00000000036	GO:0006606
ENSMYVG00000000033	ENSMYVT00000000042	ENSMYVP00000000036	GO:0006886
ENSMYVG00000000033	ENSMYVT00000000042	ENSMYVP00000000036	GO:0031267
ENSMYVG00000000033	ENSMYVT00000000051	ENSMYVP00000000043	GO:0006606
ENSMYVG00000000033	ENSMYVT00000000051	ENSMYVP00000000043	GO:0006886
ENSMYVG00000000033	ENSMYVT00000000051	ENSMYVP00000000043	GO:0031267
ENSMYVG00000000033	ENSMYVT00000000059	ENSMYVP00000000051	GO:0006606
ENSMYVG00000000033	ENSMYVT00000000059	ENSMYVP00000000051	GO:0006886
ENSMYVG00000000033	ENSMYVT00000000059	ENSMYVP00000000051	GO:0031267
ENSMYVG00000000034			HGNC:30550
ENSMYVG00000000034	ENSMYVT00000000046	ENSMYVP00000000039	GO:0005515
ENSMYVG00000000034	ENSMYVT00000000063	ENSMYVP00000000055	GO:0005515
